Food_items,Calories,Proteins,Carbohydrates,Sugars,Fibre,Fats,VitaminD,Calcium,Iron,Sodium,Potassium
Human milk,70,1.03,6.89,6.89,0,4.38,0.1,32,0.03,17,51
"Milk, reduced fat",52,3.33,4.83,4.88,0,2.14,1.1,125,0,39,156
"Milk, whole",61,3.27,4.63,4.81,0,3.2,1.1,123,0,38,150
"Milk, lowfat",43,3.38,5.18,4.96,0,0.95,1.1,126,0,39,159
"Milk, nonfat",34,3.43,4.92,5.05,0,0.08,1.1,132,0,41,167
"Flavored milk, whole",321,7.91,54.4,54.4,0,8.7,0.2,284,0.19,127,371
Milk substitutes,29,1.14,3.14,2.52,0.1,1.34,1,157,0.33,53,57
"Yogurt, regular",63,5.25,7.04,7.04,0,1.55,1.2,183,0.08,70,234
"Yogurt, Greek",73,9.95,3.94,3.56,0,1.92,0,115,0.04,34,141
"Dips, gravies, other sauces",189,7.93,3.33,2.97,0,15.99,0,92,0.09,636,119
Ice cream and frozen dairy desserts,127,3,21.6,19.92,0,3.6,0.1,100,0.46,63,156
Baby food: mixtures,75,4.9,9.08,4.47,1.1,2.15,0.2,23,0.62,27,179
Baby food: yogurt,61,3.47,4.66,4.66,0,3.25,1.2,121,0.05,46,155
"Flavored milk, nonfat",67,3.39,13.46,8.39,0,0,1.1,127,0.27,79,182
"Flavored milk, reduced fat",76,2.99,12.13,9.55,0.7,1.9,1.2,109,0.24,66,169
"Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,1.1,129,0.23,65,172
Milk shakes and other dairy drinks,88,4.55,8.05,8.05,0,4.19,1.2,130,0.2,54,165
Smoothies and grain drinks,75,2.33,13.1,11.55,0.6,1.45,0.7,82,0.04,26,169
"Formula, prepared from powder",66,1.38,7.12,7.12,0,3.56,1,51,1.19,17,70
"Formula, ready-to-feed",67,1.8,6.77,4.4,0,3.63,0.7,69,1.18,29,77
New food item,362,36.16,51.98,51.98,0,0.77,11,1257,0.32,535,1794
Cream and cream substitutes,131,3.13,4.3,4.13,0,11.5,0,107,0.05,61,132
"Cream cheese, sour cream, whipped cream",343,2.67,8.59,8.55,0,33.94,1.5,62,0.1,26,89
Pudding,142,2.09,23.01,17.17,0,4.6,0,51,1.27,152,184
Cakes and pies,355,5.99,29.51,18.7,0.6,24.34,0.6,67,1.18,156,152
Cheese,368,20.42,5,2.69,0,29.62,3,974,0.48,904,164
Cottage/ricotta cheese,82,11,4.31,4.1,0,2.3,0,103,0.13,321,120
Pizza,230,16.86,7.62,4.38,1,14.67,0.3,485,0.58,713,261
Eggs and omelets,207,9.43,6.38,2.44,0.1,16.01,1.4,189,0.76,314,131
Cheese sandwiches,283,12.17,32.58,5.71,1.4,11.61,2.7,690,2.37,807,190
"Coleslaw, non-lettuce salads",139,7.17,3.86,2.32,0.8,10.87,0.1,203,0.31,209,182
Soups,67,2.05,8.1,4.3,1.1,3.04,0.5,80,0.08,369,96
"Beef, excludes ground",215,27.13,0,0,0,11.29,0.3,15,1.91,363,352
Ground beef,262,25.62,0,0,0,17.04,0,24,2.4,382,304
Baby food: meat and dinners,112,12.58,1.25,0,0,5.99,0.5,41,1.1,47,155
Cold cuts and cured meats,251,18.17,0.47,0,0,18.98,0.1,8,1.86,973,145
Bacon,449,31.3,1.4,0,0,34.4,0.2,9,3.14,1500,412
Pork,192,27.14,0,0,0,8.67,0.7,10,0.79,348,402
Meat mixed dishes,190,18.37,7.82,0,1,9.04,0.4,15,0.73,414,293
Butter and animal fats,750,2.68,0,0,0,81.93,2.1,11,0.17,2039,47
"Lamb, goat, game",292,24.32,0,0,0,20.77,0.1,17,1.86,379,308
"Turkey, duck, other poultry",174,25.93,0,0,0,7.01,0.1,8,3.4,402,320
"Chicken, whole pieces",164,26.79,0,0,0,6.36,0,14,0.73,345,279
"Chicken patties, nuggets and tenders",287,14.85,12.84,0,0.3,19.58,0.3,19,0.95,532,261
Liver and organ meats,174,26.31,5.12,0,0,4.64,1.2,6,6.12,384,348
Frankfurters,310,11.7,2.89,1.26,0,28,0.9,15,1.14,828,326
Sausages,341,13.3,3.37,1,0,28.7,0.1,35,1.55,866,263
Fish,94,17.22,0,0,0,2.34,1.3,18,0.32,83,272
Shellfish,220,14.38,11.72,0.2,0.5,12.4,0.2,28,2.04,387,241
Stir-fry and soy-based sauce mixtures,187,15.86,3.35,1.05,0.5,12.38,0,19,1.51,333,211
Poultry mixed dishes,174,13.19,6.92,1.6,1.1,10.62,0.1,42,1.02,664,290
"Pasta sauces, tomato-based",75,6.29,6.54,4.47,1.5,2.62,0,26,0.82,410,314
Seafood mixed dishes,116,17.05,2.75,1.38,0,3.64,1.2,46,0.44,343,217
Soy-based condiments,35,5.06,3.64,3.64,0,0.01,0,43,0.78,7851,288
Rice mixed dishes,145,8.5,12.19,1.69,1,6.79,0.1,33,1.12,98,229
Fried rice and lo/chow mein,129,10.78,11.17,1.55,1.5,4.89,0,19,1.87,328,204
Burritos and tacos,181,12.99,6.33,4.06,0.9,11.32,0.1,130,1.16,472,273
Other dark green vegetables,47,4.91,4.68,0.84,3.6,1.41,0.1,205,1.1,370,303
Deli and cured meat sandwiches,293,12.82,33.81,8.87,1.9,12.03,0.4,175,2.05,590,241
Meat and BBQ sandwiches,238,15.34,24.86,9.07,0.8,8.12,0.4,63,1.94,561,233
Burgers,298,16.21,24.99,3.94,0.9,14.38,0.7,216,2.55,513,190
Chicken fillet sandwiches,245,12.46,18.27,3.18,1,13.71,0,83,1.46,479,176
Seafood sandwiches,235,14.46,25.7,3.13,0.9,8.15,0.3,73,1.89,462,229
Frankfurter sandwiches,250,8.57,26.96,7.54,1,12.02,0.4,72,1.9,668,125
Egg/breakfast sandwiches,260,9.98,17.07,2.45,0.8,16.62,1.2,98,1.78,411,109
"Beans, peas, legumes",189,8.34,23.78,0.31,8.3,7.08,0,39,1.96,217,386
"Bean, pea, legume dishes",94,3.08,12.61,3.53,3.4,3.85,0,20,0.9,350,211
"Tortilla, corn, other chips",448,14.6,53.12,1.08,9.7,21.58,0,36,4.01,410,547
Vegetable dishes,86,4.32,11.8,2.08,4,2.71,0,19,1.68,207,234
Processed soy products,61,7.17,1.18,0.7,0.2,3.69,0,111,1.11,8,120
Mustard and other condiments,77,0,19.17,10.03,0,0,0,107,5.3,1300,800
Vegetable sandwiches/burgers,224,12.96,30.82,3.94,3.5,5.2,0,140,2.88,534,236
Nuts and seeds,605,19.59,21.04,4.53,7.6,53.62,0,94,2.78,313,603
Peanut butter and jelly sandwiches,396,13.98,39.84,7.14,3.2,20.11,0,155,2.79,460,272
Fruit drinks,18,0.22,4.24,3.92,0,0,0,7,0.03,26,165
Yeast breads,267,9.43,49.2,5.34,2.3,3.59,0,211,3.36,477,117
Rolls and buns,279,9.77,50.12,7.28,1.8,3.91,0,144,3.43,494,122
"Doughnuts, sweet rolls, pastries",321,10.04,53.58,15.38,3.1,7.37,0,62,2.74,253,149
Bagels and English muffins,264,10.56,52.38,8.43,1.6,1.32,0,105,3.57,422,107
Turnovers and other grain-based items,177,3.14,21.71,2.35,0.9,8.51,0.4,30,1.09,471,72
"Crackers, excludes saltines",412,12,68.4,1.26,3,9.5,0,22,4.28,713,124
Cookies and brownies,426,10.1,74.2,12.5,2.5,9.7,0,20,0.6,227,305
"Biscuits, muffins, quick breads",370,7.08,42.82,3.88,2.5,18.92,0,70,2.76,979,131
Tortillas,260,3.85,37.2,0.72,2.9,11.19,0,55,3.7,376,115
"Pancakes, waffles, French toast",170,4.87,22.92,12.25,0.2,6.52,0.7,69,1.52,219,178
Cereal bars,389,5,69.82,25,22.5,10,0,250,0.9,237,447
Nutrition bars,390,16.67,63.42,42.31,7.7,7.69,0.2,103,1.62,321,429
Baby food: snacks and sweets,359,7.34,83.4,18.18,3.4,3.29,0,518,20.42,83,257
Saltine crackers,416,9.39,73.48,2.19,2.9,8.75,0,118,5.07,646,716
Pretzels/snack mix,502,7,62.76,1.77,3.3,25.61,0,81,2.37,757,181
Potato chips,505,5.3,65.34,4.08,2.7,24.74,0,26,0.85,544,330
Popcorn,538,8.69,55.99,0.3,10.1,31.07,0,23,2,763,431
"Pasta, noodles, cooked grains",128,4.52,26.55,1.15,4.3,0.11,0,11,0.49,99,31
Grits and other cooked cereals,64,2.21,11.36,0.17,1.7,1.09,0,12,0.68,70,58
Oatmeal,80,2.6,11.9,0.69,1.7,2.54,0,25,0.68,93,74
Rice,129,2.67,27.99,0.05,0.4,0.28,0,10,1.19,245,35
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",379,7.74,77.71,25.36,6.6,4.01,5,182,15.55,527,193
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",374,12.42,67.92,4.9,10.5,6.17,5,368,30.87,506,342
Baby food: cereals,376,13.2,69.4,13.2,6.6,6.6,7.1,643,48.21,33,467
Other Mexican mixed dishes,197,10.8,14.84,1.2,2.1,10.81,1,203,1,368,163
Nachos,265,7.69,23.79,0.39,1.7,15.73,0.1,75,1.15,485,112
"Egg rolls, dumplings, sushi",270,5.62,30.02,5.63,2.3,14.14,0,47,1.86,463,210
"Pasta mixed dishes, excludes macaroni and cheese",178,8.51,9.38,0.14,0.2,11.96,0.7,169,0.86,263,83
Macaroni and cheese,223,8.68,23.08,2.44,1.2,10.5,0.5,170,1.06,358,103
Citrus fruits,53,0.81,13.34,10.58,1.8,0.31,0,37,0.15,2,166
"Jams, syrups, toppings",354,4.71,68.92,62.16,0.4,6.93,0.9,21,0.98,73,75
Citrus juice,39,0.5,9.2,9.1,0.1,0.1,0,9,0.2,1,162
Other fruit juice,47,0.77,10.18,8.18,0.3,0.34,0,11,0.06,2,182
Dried fruits,298,2.28,78.62,66.33,4.8,0.62,0,39,1.3,32,531
Other fruits and fruit salads,65,0.65,16,11.88,1.8,0.21,0,12,0.15,2,193
Apples,61,0.17,14.8,12.08,2.1,0.15,0,5,0.03,0,104
Other vegetables and combinations,160,2,8.53,0.66,6.7,14.66,0,12,0.55,7,485
Bananas,97,0.74,22.71,15.8,1.7,0.28,0,5,0,0,326
Melons,38,0.82,8.16,7.88,0.8,0.18,0,9,0.38,30,157
Grapes,69,0.72,18.1,15.48,0.9,0.16,0,10,0.36,2,191
Mango and papaya,60,0.82,14.98,13.66,1.6,0.38,0,11,0.16,1,168
Peaches and nectarines,43,1.06,9.18,7.89,1.5,0.28,0,2,0.3,13,131
Pears,59,0.37,15.18,9.73,3.1,0.15,0,9,0.18,3,104
Pineapple,50,0.54,13.12,9.85,1.4,0.12,0,13,0.29,1,109
Blueberries and other berries,42,0.67,9.69,6.73,2,0.25,0,10,0.28,7,85
Strawberries,35,0.64,7.63,5.34,1.8,0.22,0,12,0.28,10,89
"Gelatins, ices, sorbets",106,0.81,25.4,22.6,0.5,0.06,0,7,0.32,6,73
Apple juice,46,0.1,11.3,9.62,0.2,0.13,0,8,0.12,4,101
Baby food: fruit,68,0.68,16.44,10.49,1.7,0.21,0,4,0.26,2,199
Baby juice,47,0,11.7,10.7,0.1,0.1,0,4,0.57,8,91
"White potatoes, baked or boiled",126,1.87,20.45,1.62,1.4,4.25,0,5,0.34,166,372
Mashed potatoes and white potato mixtures,115,2.1,18.74,1.24,1.9,3.72,0,12,0.39,299,327
French fries and other fried white potatoes,225,2.5,23.23,0.34,1.8,14.07,0,11,0.53,295,435
Other starchy vegetables,122,1.3,31.8,17.46,1.7,0.35,0,3,0.55,120,486
Fried vegetables,269,1.24,34.72,1.55,1.6,13.94,0,15,0.27,154,247
Broccoli,22,3.17,2.85,0.38,2.7,0.49,0,108,2.14,33,196
Lettuce and lettuce salads,15,1.36,2.87,0.78,1.3,0.15,0,36,0.86,28,194
Spinach,27,2.85,2.41,0.42,1.6,0.62,0,68,1.26,111,582
Carrots,41,0.93,9.58,4.74,2.8,0.24,0,33,0.3,69,320
Vegetable juice,25,0.72,5.91,4.84,1.1,0.06,0,12,0.57,19,128
Other red and orange vegetables,56,1.08,7.86,3.21,2.8,2.82,0,26,1.35,13,200
Tomatoes,20,0.82,4.04,2.63,1.2,0.31,0,10,0.22,4,226
"Olives, pickles, pickled vegetables",40,1,9.09,8.19,0.9,0.18,0,12,0.43,955,169
Tomato-based condiments,109,1.08,27.1,21.54,0.3,0.32,0,14,0.39,928,265
String beans,31,1.83,6.97,3.26,2.7,0.22,0,37,1.03,6,211
Cabbage,25,1.28,5.8,3.2,2.5,0.1,0,40,0.47,18,170
Corn,86,3.27,18.7,6.26,2,1.35,0,2,0.52,15,270
Onions,32,1.83,7.34,2.33,2.6,0.19,0,72,1.48,16,276
Baby food: vegetable,44,1.44,9.56,2.92,1.6,0.25,0,24,0.48,32,183
Margarine,579,0.17,0.82,0,0,65.04,3.7,16,0.02,694,27
Mayonnaise,389,0.9,22.4,15.18,0.4,34,0.1,14,0.2,1000,35
Salad dressings and vegetable oils,900,0,0,0,0,100,0,0,0.16,0,0
Vegetables on a sandwich,160,2,8.53,0.66,6.7,14.66,0,12,0.55,7,485
Sugars and honey,401,0,99.6,99.8,0,0.32,0,1,0.05,1,2
Sugar substitutes,399,0,99.35,99.22,0,0.31,0,1,0.05,1,2
Candy not containing chocolate,429,1.95,86.62,61.3,0.9,8.26,0,49,0.78,43,96
Candy containing chocolate,560,12.97,44.04,32.84,6.4,38.81,0,221,2.9,49,508
Coffee,1,0.12,0,0,0,0.02,0,2,0.01,2,49
Tea,1,0,0.3,0,0,0,0,0,0.02,3,37
Soft drinks,42,0,10.36,9.94,0,0.25,0,1,0.02,3,5
Diet soft drinks,2,0.11,0.29,0,0,0.03,0,3,0.11,8,8
Flavored or carbonated water,34,0,8.8,8.8,0,0,0,1,0.01,12,0
Other diet drinks,11,0,3.11,3.11,0,0.01,0,3,0,5,1
Beer,43,0.46,3.55,0,0,0,0,4,0.02,4,27
Liquor and cocktails,371,0,41.6,41.6,0,0.3,0,0,0.07,5,0
Wine,64,0.43,6.49,4.67,0.2,0.18,0.2,33,0.16,4,128
Tap water,0,0,0,0,0,0,0,6,0,3,0
Bottled water,0,0,0,0,0,0,0,10,0,2,0
Enhanced water,22,0,5.49,5.49,0,0,0,17,0,0,0
Baby water,0,0,0,0,0,0,0,0,0,0,0
Nutritional beverages,101,4.22,17.3,8.44,1.3,1.69,2.5,127,1.9,63,245
Protein and nutritional powders,353,19.9,66.2,65.8,0.4,1.4,0,285,12.82,385,947
Sport and energy drinks,46,0.25,12.08,12.08,0,0.08,0,13,0.02,35,3
Diet sport and energy drinks,5,0,1.38,1.38,0,0,0,0,0,75,0
